id,title,released,overall,reviews,tags
2199580,Interstellar Pilot 2,"2 Jan, 2023",Very Positive,81,"Action, Simulation, Strategy, Sandbox, Space Sim, 3D, Space, Sci-fi, Open World, Combat, Adventure, Indie, Early Access, Singleplayer"
1162700,Midnight Protocol,"13 Oct, 2021",Very Positive,181,"Singleplayer, Hacking, Typing, Story Rich, Atmospheric, Turn-Based Strategy, Strategy RPG, Minimalist, Strategy, Crime, Indie, Sci-fi, Tactical RPG, Action, Programming, Turn-Based Tactics, RPG, Experimental, 3D, Investigation"
2665270,The Texas Chain Saw Massacre - Danny,"28 Nov, 2023",Mostly Positive,45,"Horror, Gore, Multiplayer, Action, Survival Horror, Team-Based, Violent, PvP, Survival, Asynchronous Multiplayer, Third Person, Stealth, Indie, Blood, Cinematic, Atmospheric, 3D, Nudity, Psychological Horror, Strategy"
806950,Victory At Sea Pacific,"14 Sep, 2018",Mixed,544,"RTS, World War II, Naval, Strategy, Naval Combat, Open World, Real Time Tactics, Grand Strategy, Real-Time with Pause, Tactical, Wargame, Real-Time, Adventure, Indie, Action, Simulation, Singleplayer, 3D, War, Alternate History"
2187130,Rabat Protocol:Metal Rhapsody,"27 Jul, 2023",Very Positive,54,"Looter Shooter, Twin Stick Shooter, Wargame, Shooter, Arcade, Strategy, Roguelike, Female Protagonist, Action, 3D, Gun Customization, Anime, World War II, Comedy, Survival, Combat, Singleplayer, Casual, Indie"
1478970,AI Olympius,"20 Jul, 2023",Positive,37,"Co-op, Adventure, Action, Third-Person Shooter, Sci-fi, Local Co-Op, Singleplayer, Shooter, Action-Adventure, Early Access, 3D, Indie, Third Person, Strategy, RPG, Futuristic, Post-apocalyptic, Controller, PvE"
262590,Chuck's Challenge 3D 2020,"28 Feb, 2014",Very Positive,136,"Puzzle, Sokoban, Difficult, Level Editor, Building, Kickstarter, Logic, Strategy, Family Friendly, 3D, Top-Down, Indie, Singleplayer, Cartoony, Cute, Grid-Based Movement, Action, Old School, Crowdfunded, Adventure"
987070,Verdun - Supporter Edition Upgrade,"13 Dec, 2018",Positive,40,"Strategy, Action, Indie, Gore, Violent, World War I, Shooter, Multiplayer, War, Military, Realistic, Wargame, First-Person, FPS, Historical, Atmospheric, Tactical, Great Soundtrack, Simulation, 3D"
746960,Tannenberg - Supporter Edition Upgrade,"16 Nov, 2017",Very Positive,58,"Strategy, Action, Indie, Gore, Violent, World War I, First-Person, Shooter, Multiplayer, Military, Realistic, Simulation, FPS, War, Tactical, Great Soundtrack, 3D, Historical, Wargame, Atmospheric"
2394720,The Texas Chain Saw Massacre - Nicotero Leatherface,"24 Oct, 2023",Very Positive,65,"Horror, Gore, Multiplayer, Action, Survival Horror, Team-Based, Asynchronous Multiplayer, PvP, Violent, Third Person, Stealth, Survival, Blood, Indie, Cinematic, Atmospheric, 3D, Nudity, Psychological Horror, Strategy"
2320040,Skies above the Great War,"11 Jan, 2024",Mixed,17,"Early Access, World War I, Flight, RTS, Strategy, Realistic, Action, Open World, 3D, Wargame, Management, Arcade, Third Person, Historical, War, Combat, Moddable, Singleplayer, Grand Strategy, Sandbox"
2600830,Lost Hope: Backrooms,"8 Nov, 2023",Mostly Positive,19,"Horror, First-Person, Survival Horror, Adventure, 3D, Psychological Horror, Exploration, Action-Adventure, Controller, Singleplayer, Action, Indie, Early Access, Survival, Strategy, Logic, Female Protagonist, Multiple Endings"
1278210,Space Raiders in Space,"8 Dec, 2020",Very Positive,53,"Strategy, Indie, Action, Comic Book, Roguelike, Tower Defense, Funny, Replay Value, Roguelite, Sci-fi, Action Roguelike, RTS, Action RTS, Shoot 'Em Up, Top-Down, 3D, Cartoony, Colorful, Isometric, Stylized"
703500,ReThink | Evolved,"15 Sep, 2017",Very Positive,72,"Puzzle, First-Person, Logic, Singleplayer, 3D, Indie, Minimalist, Beautiful, Relaxing, Sci-fi, Linear, Action, Casual, Strategy"
2481930,Scamper,"28 Jul, 2023",Positive,44,"Action, Horror, VR, Strategy, Adventure, Hidden Object, Puzzle, Time Management, 3D, Parkour, Psychological Horror, Stealth, Survival Horror, Thriller, Exploration, Singleplayer, Physics, Underground, Indie"
457480,Domino Sky,"5 Apr, 2016",Very Positive,328,"Indie, Casual, Strategy, Puzzle, Physics, 3D, Singleplayer, Relaxing, Action, Adventure, Simulation, First-Person, Realistic, Tactical, Family Friendly, Logic, Immersive Sim, FPS, Moddable, Great Soundtrack"
2302820,FAS: Fight Action Sandbox,"19 Apr, 2023",Mostly Positive,43,"Simulation, Strategy, 3D Fighter, Turn-Based Tactics, 3D, Character Customization, Superhero, Combat, Level Editor, PvP, Turn-Based Combat, Multiplayer, Singleplayer, Sandbox, Indie, Fighting, Action, Turn-Based Strategy, Spectacle fighter"
2053050,Nightly Maintenance,"2 Dec, 2023",Positive,11,"Strategy, Hidden Object, Puzzle, Walking Simulator, 3D, Indie, First-Person, Horror, Psychological Horror, Story Rich, Atmospheric, Action, Adventure, Mystery, Dark, Supernatural, Singleplayer, Early Access, Time Management"
