game_id,title,released,price,overall,positive%,reviews,tags
646570,Slay the Spire,"23 Jan, 2019","312.000,00₫",Overwhelmingly Positive,0.97,129123,"Roguelike Deckbuilder, Card Game, Card Battler, Roguelike, Deckbuilding, Turn-Based, Strategy, Singleplayer, Roguelite, Replay Value, Indie, Difficult, Dungeon Crawler, RPG, Mouse only, Great Soundtrack, 2D, Procedural Generation, Fantasy, Casual"
1049590,Eternal Return,"19 Jul, 2023",Free,Mostly Positive,0.78,55114,"Free to Play, Anime, MOBA, Multiplayer, Survival, PvP, Combat, Top-Down, Crafting, Action, 3D, Strategy, Tactical, Character Customization, Indie, Experimental, Point & Click, Early Access, Sexual Content, MMORPG"
756800,Contraband Police,"8 Mar, 2023","385.000,00₫",Overwhelmingly Positive,0.95,12922,"Open World, Action, First-Person, Multiple Endings, Simulation, Realistic, Singleplayer, 1980s, Automobile Sim, Story Rich, FPS, Survival, Management, Action-Adventure, Immersive Sim, Detective, Physics, Destruction, Atmospheric, Indie"
1336490,Against the Storm,"8 Dec, 2023","399.000,00₫",Overwhelmingly Positive,0.95,21060,"City Builder, Strategy, Base Building, Simulation, Building, Resource Management, Management, Colony Sim, Sandbox, Survival, Roguelike, Moddable, Economy, Singleplayer, Open World, Roguelite, 2D, Automation, Fantasy, Indie"
1129580,Medieval Dynasty,"23 Sep, 2021","490.000,00₫",Very Positive,0.9,31250,"Multiplayer, Co-op, Open World, Medieval, Survival, RPG, Atmospheric, Singleplayer, Base Building, Simulation, Realistic, First-Person, Historical, Adventure, Action, Management, Sandbox, Indie, Relaxing, Horses"
1290000,PowerWash Simulator,"14 Jul, 2022","570.000,00₫",Overwhelmingly Positive,0.97,37955,"Casual, Relaxing, Simulation, First-Person, Sandbox, 3D, Multiplayer, Funny, Immersive Sim, Co-op, Story Rich, Family Friendly, Colorful, Online Co-Op, Realistic, Wholesome, Singleplayer, Indie, Cozy, Atmospheric"
513710,SCUM,"29 Aug, 2018","565.000,00₫",Mostly Positive,0.75,80764,"Survival, Open World Survival Craft, Multiplayer, Open World, Zombies, Nudity, Massively Multiplayer, Action, Adventure, Realistic, Early Access, Crafting, Singleplayer, FPS, Violent, PvP, Gore, Third Person, Indie, RPG"
2138710,Sifu,"28 Mar, 2023","373.000,00₫",Very Positive,0.92,8696,"Action, Martial Arts, Beat 'em up, Difficult, Third Person, Souls-like, Singleplayer, Crime, Blood, Swordplay, Indie, Dark, Arcade, Dark Fantasy, Action Roguelike, War, Fighting, Hack and Slash, Action RPG, Action-Adventure"
960090,Bloons TD 6,"17 Dec, 2018","160.000,00₫",Overwhelmingly Positive,0.97,263482,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op, Co-op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Great Soundtrack, Difficult, Funny, Cute, Survival, Action, Indie, 2D, Adventure"
880940,Pummel Party,"20 Sep, 2018","205.000,00₫",Very Positive,0.89,38449,"Multiplayer, Funny, Online Co-Op, 4 Player Local, Board Game, Party Game, Casual, Minigames, Local Multiplayer, Co-op, Party, Local Co-Op, Action, Indie, Comedy, Tabletop, Controller, Gore, Colorful, Singleplayer"
346110,ARK: Survival Evolved,"27 Aug, 2017","205.000,00₫",Very Positive,0.83,513499,"Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie"
1227890,Summer Memories,"14 Jun, 2020","188.000,00₫",Very Positive,0.92,14554,"Sexual Content, Nudity, Mature, Hentai, Pixel Graphics, Anime, FPS, RPG, Simulation, Multiple Endings, Visual Novel, Singleplayer, Time Management, 2D, JRPG, Adventure, RPGMaker, Indie, Funny, Memes"
1435790,Escape Simulator,"19 Oct, 2021","205.000,00₫",Very Positive,0.94,11975,"Puzzle, Co-op, Escape Room, Multiplayer, First-Person, Adventure, Mystery, Controller, Casual, Family Friendly, Indie, Singleplayer, Simulation, Online Co-Op, Story Rich, Point & Click, Level Editor, Exploration, Investigation, 3D"
291550,Brawlhalla,"17 Oct, 2017",Free,Very Positive,0.82,357789,"Free to Play, Multiplayer, Fighting, 2D Fighter, Casual, 2D Platformer, Local Multiplayer, Co-op, Controller, Action, Platformer, Fantasy, Online Co-Op, Local Co-Op, Family Friendly, 4 Player Local, Cartoony, eSports, Singleplayer, Indie"
1190000,Car Mechanic Simulator 2021,"11 Aug, 2021","321.000,00₫",Overwhelmingly Positive,0.96,22474,"Simulation, Automobile Sim, Sandbox, Realistic, Moddable, Racing, Driving, 3D, Education, First-Person, Singleplayer, Immersive Sim, Puzzle, Open World, Atmospheric, Adventure, Minigames, Indie, Strategy, Great Soundtrack"
2497920,A Difficult Game About Climbing,"6 Mar, 2024","142.000,00₫",Very Positive,0.88,1473,"Difficult, Precision Platformer, Psychological Horror, Physics, Funny, Parkour, Singleplayer, Indie, Platformer, Surreal, Third Person, Philosophical, Action, Survival, Linear, Nature, 2.5D, 2D Platformer, 2D"
457140,Oxygen Not Included,"30 Jul, 2019","220.000,00₫",Overwhelmingly Positive,0.96,105709,"Colony Sim, Base Building, Survival, Resource Management, Building, Singleplayer, Management, Simulation, 2D, Sandbox, Strategy, Space, Indie, Sci-fi, Exploration, Difficult, Open World, Multiplayer, Adventure, Space Sim"
1629520,A Little to the Left,8 nov. 2022,"165.000,00₫",Very Positive,0.91,6967,"Casse-tête, Détente, Bienveillant, Casual, Mignon, Coloré, Chats, Humour, 2D, Logique, Jeu solo, Dessiné à la main, Réconfortant, Indépendant, Objets cachés, Linéaire, Familial, Graphismes pixel, Pointer et cliquer, Multijoueur"
1826140,RimWorld - Biotech,"21 Oct, 2022","300.000,00₫",Very Positive,0.93,2374,"Indie, Strategy, Simulation, Colony Sim, Singleplayer, Moddable"
427520,Factorio,"14 Aug, 2020","450.000,00₫",Overwhelmingly Positive,0.97,143153,"Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Building, Co-op, 2D, Moddable, Singleplayer, Trains, Simulation, Pixel Graphics, City Builder, Indie"
620980,Beat Saber,"21 May, 2019","385.000,00₫",Overwhelmingly Positive,0.95,65573,"VR, Rhythm, Music, Moddable, Fast-Paced, First-Person, Indie, Singleplayer, Difficult, Multiplayer, Swordplay, Action, Sports, Futuristic, Casual, Games Workshop, Music-Based Procedural Generation, PvP, Great Soundtrack, Early Access"
